,Unnamed: 0,Company,TypeName,Inches,Ram,OpSys,Weight,Price,processor_speed,processor_series,cpu_brand,full_hd,touchscreen,panel_type,screen_width,screen_height,gpu_brand,gpu_series,gpu_model,ssd_gb,hdd_gb,is_flash_storage
0,0,Apple,Ultrabook,13.3,8,macOS,1,71379,2.3,Core i5,Intel,0,0,1,2560,1600,Intel,Iris Plus,640,128,0,0
1,1,Apple,Ultrabook,13.3,8,macOS,1,47896,1.8,Core i5,Intel,0,0,0,1440,900,Intel,HD Graphics,6000,0,0,1
2,2,HP,Notebook,15.6,8,No OS,2,30636,2.5,Core i5,Intel,1,0,0,1920,1080,Intel,HD Graphics,620,256,0,0
3,3,Apple,Ultrabook,15.4,16,macOS,2,135195,2.7,Core i7,Intel,0,0,1,2880,1800,AMD,Radeon Pro,455,512,0,0
4,4,Apple,Ultrabook,13.3,8,macOS,1,96096,3.1,Core i5,Intel,0,0,1,2560,1600,Intel,Iris Plus,650,256,0,0
5,5,Acer,Notebook,15.6,4,Windows 10,2,21312,3.0,A9-Series 9420,AMD,0,0,0,1366,768,AMD,Radeon R5,R5,0,0,0
6,6,Apple,Ultrabook,15.4,16,Mac OS X,2,114018,2.2,Core i7,Intel,0,0,1,2880,1800,Intel,Iris Pro,,0,0,1
7,7,Apple,Ultrabook,13.3,8,macOS,1,61736,1.8,Core i5,Intel,0,0,0,1440,900,Intel,HD Graphics,6000,0,0,1
8,8,Asus,Ultrabook,14.0,16,Windows 10,1,79654,1.8,Core i7,Intel,1,0,0,1920,1080,Nvidia,GeForce MX150,MX150,512,0,0
9,9,Acer,Ultrabook,14.0,8,Windows 10,2,41026,1.6,Core i5,Intel,1,0,1,1920,1080,Intel,UHD Graphics,620,256,0,0
10,10,HP,Notebook,15.6,4,No OS,2,20987,2.5,Core i5,Intel,0,0,0,1366,768,Intel,HD Graphics,620,0,0,0
11,11,HP,Notebook,15.6,4,No OS,2,18381,2.0,Core i3,Intel,1,0,0,1920,1080,Intel,HD Graphics,520,0,0,0
12,12,Apple,Ultrabook,15.4,16,macOS,2,130002,2.8,Core i7,Intel,0,0,1,2880,1800,AMD,Radeon Pro,555,256,0,0
13,13,Dell,Notebook,15.6,4,Windows 10,2,26581,2.0,Core i3,Intel,1,0,0,1920,1080,AMD,Radeon R5,M430,256,0,0
14,14,Apple,Ultrabook,12.0,8,macOS,1,67261,1.2,Core M,Intel,0,0,1,2304,1440,Intel,HD Graphics,615,256,0,0
15,15,Apple,Ultrabook,13.3,8,macOS,1,80908,2.3,Core i5,Intel,0,0,1,2560,1600,Intel,Iris Plus,640,256,0,0
16,16,Dell,Notebook,15.6,8,Windows 10,2,39694,2.7,Core i7,Intel,1,0,0,1920,1080,AMD,Radeon R5,M430,256,0,0
17,17,Apple,Ultrabook,15.4,16,macOS,2,152274,2.9,Core i7,Intel,0,0,1,2880,1800,AMD,Radeon Pro,560,512,0,0
18,18,Lenovo,Notebook,15.6,8,No OS,2,26587,2.4,Core i3,Intel,1,0,0,1920,1080,Nvidia,GeForce 940MX,940MX,0,1024,0
19,19,Dell,Ultrabook,13.3,8,Windows 10,1,52161,1.6,Core i5,Intel,1,1,1,1920,1080,Intel,UHD Graphics,620,128,0,0
20,21,Lenovo,Gaming,15.6,8,Windows 10,3,53227,2.5,Core i5,Intel,1,0,1,1920,1080,Nvidia,GeForce GTX,1050,128,1024,0
21,22,HP,Notebook,15.6,4,No OS,2,13746,1.5,E-Series E2-9000e,AMD,0,0,0,1366,768,AMD,Radeon R2,R2,0,0,0
22,23,Dell,2 in 1 Convertible,13.3,8,Windows 10,2,43636,1.6,Core i5,Intel,1,1,0,1920,1080,Intel,UHD Graphics,620,256,0,0
23,24,HP,Ultrabook,15.6,8,Windows 10,2,35112,1.8,Core i7,Intel,1,0,0,1920,1080,Intel,HD Graphics,620,256,0,0
24,25,Dell,Notebook,15.6,4,Windows 10,2,22305,2.0,Core i3,Intel,0,0,0,1366,768,Intel,HD Graphics,520,0,1024,0
25,26,Apple,Ultrabook,13.3,8,Mac OS X,1,58555,1.6,Core i5,Intel,0,0,0,1440,900,Intel,HD Graphics,6000,0,0,1
26,27,Dell,Notebook,15.6,8,Windows 10,2,42624,1.6,Core i5,Intel,1,0,0,1920,1080,AMD,Radeon 530,530,256,0,0
27,28,Dell,Ultrabook,15.6,8,Windows 10,2,69157,1.9,Core i7,Intel,1,0,0,1920,1080,Intel,UHD Graphics,620,256,0,0
